ID,Type,Final Classification,Sensor Classification,Vision Classification,Weight,Time to classify,Inductive,Proximity,Image path,Image name,Bin class,Bin weight change,Time to bin,Bin entered,Error Type
151,none,ItemType.plastic,ItemType.plastic,ItemType.metal,8,4.691072941,162,20,/home/student/images/object_151.png,image_151.png,None,None,None,plastic,mistakenly detected object
152,plastic,ItemType.plastic,ItemType.plastic,ItemType.glass,8,4.737468004,183,8,/home/student/images/object_152.png,image_152.png,None,None,None,plastic,
153,plastic,ItemType.plastic,ItemType.plastic,ItemType.glass,8,4.67731595,189,7,/home/student/images/object_153.png,image_153.png,None,None,None,plastic,
154,metal,ItemType.metal,ItemType.metal,ItemType.plastic,8,4.654616117,893,7,/home/student/images/object_154.png,image_154.png,None,None,None,metal,
155,none,ItemType.plastic,ItemType.plastic,ItemType.plastic,8,4.669667006,194,21,/home/student/images/object_155.png,image_155.png,None,None,None,plastic,
156,glass,ItemType.glass,ItemType.glass,ItemType.glass,486,4.707926989,190,5,/home/student/images/object_156.png,image_156.png,None,None,None,glass,
157,metal,ItemType.metal,ItemType.metal,ItemType.metal,8,4.67289114,899,8,/home/student/images/object_157.png,image_157.png,None,None,None,metal,
158,plastic,ItemType.plastic,ItemType.plastic,ItemType.plastic,8,4.658329964,195,8,/home/student/images/object_158.png,image_158.png,None,None,None,plastic,
159,metal,ItemType.metal,ItemType.metal,ItemType.plastic,8,4.65594101,890,10,/home/student/images/object_159.png,image_159.png,None,None,None,metal,
160,metal,ItemType.metal,ItemType.metal,ItemType.plastic,8,4.735826015,883,7,/home/student/images/object_160.png,image_160.png,None,None,None,metal,
161,plastic,ItemType.plastic,ItemType.plastic,ItemType.glass,8,4.686969042,189,21,/home/student/images/object_161.png,image_161.png,None,None,None,plastic,
162,plastic,ItemType.plastic,ItemType.plastic,ItemType.metal,8,4.635011911,193,8,/home/student/images/object_162.png,image_162.png,None,None,None,plastic,
163,plastic,ItemType.plastic,ItemType.plastic,ItemType.glass,8,4.695881128,186,7,/home/student/images/object_163.png,image_163.png,None,None,None,plastic,
164,glass,ItemType.glass,ItemType.glass,ItemType.metal,239,4.717606068,184,7,/home/student/images/object_164.png,image_164.png,None,None,None,glass,
165,metal,ItemType.metal,ItemType.metal,ItemType.plastic,12,4.664361,892,8,/home/student/images/object_165.png,image_165.png,None,None,None,none,Couldn’t roll in
166,plastic,ItemType.plastic,ItemType.plastic,ItemType.plastic,8,4.699203968,182,10,/home/student/images/object_166.png,image_166.png,None,None,None,plastic,
